subplot,plot,INDEX,date,VI,filename
5P2,5P,NDVI,2009-08-07,0.12194743360343732,NDVI_2009-08-07.tif
ET1,ET,NDVI,2009-08-07,0.11320954160048412,NDVI_2009-08-07.tif
5P3,5P,NDVI,2009-08-07,0.11685126523176829,NDVI_2009-08-07.tif
5P4,5P,NDVI,2009-08-07,0.13009540922939777,NDVI_2009-08-07.tif
BB4,BB,NDVI,2009-08-07,0.11917082307969823,NDVI_2009-08-07.tif
BB3,BB,NDVI,2009-08-07,0.11916143214330077,NDVI_2009-08-07.tif
BB2,BB,NDVI,2009-08-07,0.12044705348935994,NDVI_2009-08-07.tif
BB1,BB,NDVI,2009-08-07,0.12409582993258601,NDVI_2009-08-07.tif
ST1,ST,NDVI,2009-08-07,0.10564618669450283,NDVI_2009-08-07.tif
ET2,ET,NDVI,2011-05-08,0.020302368002012371,NDVI_2011-05-08.tif
5P5,5P,NDVI,2011-05-08,0.0037745508515009923,NDVI_2011-05-08.tif
5P1,5P,NDVI,2011-05-08,0.03456431095089231,NDVI_2011-05-08.tif
5P2,5P,NDVI,2011-05-08,0.040578685529333983,NDVI_2011-05-08.tif
ET1,ET,NDVI,2011-05-08,0.022152277999199353,NDVI_2011-05-08.tif
5P3,5P,NDVI,2011-05-08,0.019104951885916915,NDVI_2011-05-08.tif
5P4,5P,NDVI,2011-05-08,0.0071421253960579634,NDVI_2011-05-08.tif
BB4,BB,NDVI,2011-05-08,0.023627504596815389,NDVI_2011-05-08.tif
BB3,BB,NDVI,2011-05-08,0.024526335124392062,NDVI_2011-05-08.tif
BB2,BB,NDVI,2011-05-08,0.020333472438241271,NDVI_2011-05-08.tif
BB1,BB,NDVI,2011-05-08,0.033952332061270012,NDVI_2011-05-08.tif
ST1,ST,NDVI,2011-05-08,0.029925419599749148,NDVI_2011-05-08.tif
ET2,ET,NDRE,2011-09-18,-0.0045037685505424935,NDRE_2011-09-18.tif
5P5,5P,NDRE,2011-09-18,0.0026182390793110244,NDRE_2011-09-18.tif
5P1,5P,NDRE,2011-09-18,-0.008962996514691483,NDRE_2011-09-18.tif
5P2,5P,NDRE,2011-09-18,-0.010481504600887237,NDRE_2011-09-18.tif
ET1,ET,NDRE,2011-09-18,-0.014485565381339537,NDRE_2011-09-18.tif
5P3,5P,NDRE,2011-09-18,0.0087079570318261777,NDRE_2011-09-18.tif
5P4,5P,NDRE,2011-09-18,0.016387835377827287,NDRE_2011-09-18.tif
BB4,BB,NDRE,2011-09-18,-0.019817964223501107,NDRE_2011-09-18.tif
BB3,BB,NDRE,2011-09-18,-0.016433257653261535,NDRE_2011-09-18.tif
BB2,BB,NDRE,2011-09-18,-0.013833393808454275,NDRE_2011-09-18.tif
BB1,BB,NDRE,2011-09-18,-0.014176234744651161,NDRE_2011-09-18.tif
ST1,ST,NDRE,2011-09-18,-0.015899866423569619,NDRE_2011-09-18.tif
ET2,ET,NDRE,2009-08-07,0.018233442958444358,NDRE_2009-08-07.tif
5P5,5P,NDRE,2009-08-07,0.020989420541029955,NDRE_2009-08-07.tif
5P1,5P,NDRE,2009-08-07,0.014379321647408818,NDRE_2009-08-07.tif
5P2,5P,NDRE,2009-08-07,0.017282093433957351,NDRE_2009-08-07.tif
ET1,ET,NDRE,2009-08-07,0.0075885670689436104,NDRE_2009-08-07.tif
5P3,5P,NDRE,2009-08-07,0.015524288995948154,NDRE_2009-08-07.tif
5P4,5P,NDRE,2009-08-07,0.024001430021598935,NDRE_2009-08-07.tif
BB4,BB,NDRE,2009-08-07,0.016054216758621967,NDRE_2009-08-07.tif
BB3,BB,NDRE,2009-08-07,0.016906896606087685,NDRE_2009-08-07.tif
BB2,BB,NDRE,2009-08-07,0.021090783858777617,NDRE_2009-08-07.tif
BB1,BB,NDRE,2009-08-07,0.023400186561048031,NDRE_2009-08-07.tif
ST1,ST,NDRE,2009-08-07,0.0033677812141831966,NDRE_2009-08-07.tif
ET2,ET,NDVI,2010-08-17,0.096770958105723059,NDVI_2010-08-17.tif
5P5,5P,NDVI,2010-08-17,0.11415809712239675,NDVI_2010-08-17.tif
5P1,5P,NDVI,2010-08-17,0.088669784721874062,NDVI_2010-08-17.tif
5P2,5P,NDVI,2010-08-17,0.084747956183395881,NDVI_2010-08-17.tif
ET1,ET,NDVI,2010-08-17,0.086021661471862063,NDVI_2010-08-17.tif
5P3,5P,NDVI,2010-08-17,0.09015791366497676,NDVI_2010-08-17.tif
5P4,5P,NDVI,2010-08-17,0.099358964711427689,NDVI_2010-08-17.tif
BB4,BB,NDVI,2010-08-17,0.1043350026011467,NDVI_2010-08-17.tif
BB3,BB,NDVI,2010-08-17,0.11339519685134292,NDVI_2010-08-17.tif
BB2,BB,NDVI,2010-08-17,0.10804117978973822,NDVI_2010-08-17.tif
BB1,BB,NDVI,2010-08-17,0.11570440913024156,NDVI_2010-08-17.tif
ST1,ST,NDVI,2010-08-17,0.077620370499789718,NDVI_2010-08-17.tif
ET2,ET,NDRE,2010-08-17,-0.021619994395102062,NDRE_2010-08-17.tif
5P5,5P,NDRE,2010-08-17,0.0037689812847280075,NDRE_2010-08-17.tif
5P1,5P,NDRE,2010-08-17,-0.025856544551927419,NDRE_2010-08-17.tif
5P2,5P,NDRE,2010-08-17,-0.025083096391570411,NDRE_2010-08-17.tif
ET1,ET,NDRE,2010-08-17,-0.015627796331850383,NDRE_2010-08-17.tif
5P3,5P,NDRE,2010-08-17,-0.022503278295819957,NDRE_2010-08-17.tif
5P4,5P,NDRE,2010-08-17,-0.003999061300419271,NDRE_2010-08-17.tif
BB4,BB,NDRE,2010-08-17,-0.0046042732805397146,NDRE_2010-08-17.tif
BB3,BB,NDRE,2010-08-17,-0.00033831115069915541,NDRE_2010-08-17.tif
BB2,BB,NDRE,2010-08-17,-0.0037185170592486179,NDRE_2010-08-17.tif
BB1,BB,NDRE,2010-08-17,-0.00049151914857287443,NDRE_2010-08-17.tif
ST1,ST,NDRE,2010-08-17,-0.026756604720139875,NDRE_2010-08-17.tif
ET2,ET,NDRE,2013-05-20,-0.022923035516093173,NDRE_2013-05-20.tif
5P5,5P,NDRE,2013-05-20,-0.040043034191642492,NDRE_2013-05-20.tif
5P1,5P,NDRE,2013-05-20,-0.027957164017217501,NDRE_2013-05-20.tif
5P2,5P,NDRE,2013-05-20,-0.02769035277398009,NDRE_2013-05-20.tif
ET1,ET,NDRE,2013-05-20,-0.024369203915389683,NDRE_2013-05-20.tif
5P3,5P,NDRE,2013-05-20,-0.028966932712743681,NDRE_2013-05-20.tif
5P4,5P,NDRE,2013-05-20,-0.032587087713181973,NDRE_2013-05-20.tif
BB4,BB,NDRE,2013-05-20,-0.017400200944393873,NDRE_2013-05-20.tif
BB3,BB,NDRE,2013-05-20,-0.015772570748595172,NDRE_2013-05-20.tif
BB2,BB,NDRE,2013-05-20,-0.015447914801453326,NDRE_2013-05-20.tif
BB1,BB,NDRE,2013-05-20,-0.017076049222732367,NDRE_2013-05-20.tif
ST1,ST,NDRE,2013-05-20,-0.020521314931102097,NDRE_2013-05-20.tif
ET2,ET,NDVI,2009-09-23,0.1583117683728536,NDVI_2009-09-23.tif
5P5,5P,NDVI,2009-09-23,0.12389692983457021,NDVI_2009-09-23.tif
5P1,5P,NDVI,2009-09-23,0.12446454735029311,NDVI_2009-09-23.tif
5P2,5P,NDVI,2009-09-23,0.13032797253445574,NDVI_2009-09-23.tif
