SITE,YEAR,,GPP,PRECIP,RE,TA
Mpg,2012,2,28.597502757599997,2.794,11.703300433199997,1.505941091954024
Mpg,2012,3,42.48686228832,7.8740000000000006,21.160650924000002,8.233743279569888
Mpg,2012,4,55.73461150295999,13.715999999999998,24.553325618639995,12.408652777777775
Mpg,2012,5,44.21248791048001,6.35,29.9220502464,15.977439516129031
Mpg,2012,6,26.793855390959994,0.762,28.294220382480002,22.788138888888902
Mpg,2012,7,22.509277295759997,23.622,28.334402726399997,21.78061155913978
Mpg,2012,8,20.531771496719998,13.969999999999999,27.731879111519998,21.612081162634396
Mpg,2012,9,32.247127382399995,51.054,37.511648704799995,18.67179798611112
Mpg,2012,10,32.98323409776,1.778,17.212654850400003,13.549287634408604
Mpg,2012,11,16.369746839999998,0.0,9.133911864000002,8.347910375000003
Mpg,2012,12,10.648682908559998,22.860000000000003,13.217208555600001,1.4585558669354834
Mpg,2013,1,10.29976365384,8.128,13.6683075456,-0.9704259341397856
Mpg,2013,2,14.750403670079999,12.446,9.085260832487998,0.5729241071428565
Mpg,2013,3,28.97754398784,9.398,12.351326264639999,7.264462365591401
Mpg,2013,4,21.829072253040003,4.8260000000000005,10.392882143760001,7.54875
Mpg,2013,5,10.87655862744,3.302,10.493742510648001,15.021095430107529
Mpg,2013,6,9.277953926399999,9.143999999999998,17.479508162400002,22.005717236111117
Mpg,2013,7,11.232535230720002,49.784,34.9115449464,19.697309798387103
Mpg,2013,8,53.9599007664,68.58,76.45604817599998,19.513044354838712
Mpg,2013,9,54.69849909360002,98.552,67.94318460096,16.417552215277777
Mpg,2013,10,39.872985566400004,20.828,29.673418176000002,10.11703629032258
Mpg,2013,11,26.230420792799993,22.86,17.02906881696,5.781809104166668
Mpg,2013,12,15.802074805680002,9.905999999999999,16.950590372879997,0.8194784543010752
Mpj,2007,1,0.0,0.0,0.0,
Mpj,2007,2,0.0,0.0,0.0,
Mpj,2007,3,0.0,0.0,0.0,
Mpj,2007,4,0.0,0.0,0.0,
Mpj,2007,5,0.0,0.0,0.0,
Mpj,2007,6,0.0,0.0,0.0,
Mpj,2007,7,0.0,0.0,0.0,
Mpj,2007,8,0.0,0.0,0.0,
Mpj,2007,9,0.0,0.0,0.0,
Mpj,2007,10,0.0,0.0,0.0,
Mpj,2007,11,12.77101841832,18.01379,10.3086418608,5.976294435460371
Mpj,2007,12,22.109130703439998,33.02502,21.298959534240005,-0.3145393556966351
Mpj,2008,1,15.165503447759999,17.51329,15.0820162272,-1.78689123342294
Mpj,2008,2,30.937223477520007,18.81426,18.590981428224,2.5171257758620698
Mpj,2008,3,55.51787893248,10.207759999999999,22.4441753688,5.338857782258067
Mpj,2008,4,52.489839965760005,10.00755,21.130929518400006,9.308891194444438
Mpj,2008,5,45.05671373256,19.414789999999996,29.081112695999998,13.817551290322582
Mpj,2008,6,32.73390877536,0.30023,27.965847240000002,20.666019791666663
Mpj,2008,7,48.36178798560001,31.724019999999996,63.76395189599998,19.2676712701613
Mpj,2008,8,94.26696172560001,83.36285000000001,87.70270615199998,18.53959961021505
Mpj,2008,9,80.7912151344,26.72019,62.521370208,15.656909236111112
Mpj,2008,10,69.02183506319999,77.45872,47.678381460000004,11.442158044354843
Mpj,2008,11,56.323126332000015,5.6043,27.097600269600004,5.58602123611111
Mpj,2008,12,34.66095567407999,16.21254,20.3545044288,0.9577495497311831
Mpj,2009,1,36.633346627680005,7.300000000000001,22.4941707504,2.233261839396019
Mpj,2009,2,44.79050042856,5.2,18.0385832304,4.069129464285712
Mpj,2009,3,59.4690360408,8.9,23.505839517600002,6.106592741935484
Mpj,2009,4,53.331793796160014,10.8,23.4940818384,9.174256944444444
Mpj,2009,5,41.83017007679999,18.6,31.7985860592,15.94770378360215
Mpj,2009,6,37.37588345999999,33.6,34.897925736000005,18.752840277777764
Mpj,2009,7,45.00640180079999,49.0,56.93593997519999,21.377916666666657
Mpj,2009,8,38.75779035360001,15.100000000000001,38.147636599200005,20.341290322580655
Mpj,2009,9,59.058960796799994,102.7,60.892213967999986,15.046038194444447
Mpj,2009,10,71.1889686792,36.4,48.668563627199994,9.111116357526878
Mpj,2009,11,53.77779172799999,10.5,30.0596017248,6.321097861111111
Mpj,2009,12,20.95260699024,31.099999999999998,27.828221219999993,-2.136964139784945
Mpj,2010,1,23.32275310728,98.552,26.148385504799997,-1.166741163349349
Mpj,2010,2,27.342323217359997,95.504,21.9060966888,-0.5936168675595237
Mpj,2010,3,52.915313901599994,114.80799999999998,31.168558339199997,3.639732399193547
Mpj,2010,4,89.28738704159998,66.54800000000002,46.9793318256,9.054690083333329
Mpj,2010,5,107.73304464960002,45.72,64.55376907200001,14.078100920698933
Mpj,2010,6,84.71566509119998,22.299999999999997,69.3450197928,21.130750000000003
Mpj,2010,7,84.22640800559996,76.09999999999998,75.71656699200001,20.107087096774197
Mpj,2010,8,88.6732641144,3.4,66.48087651120002,20.566875000000007
Mpj,2010,9,62.67538985040001,30.200000000000003,42.165521805599994,18.88492361111111
Mpj,2010,10,73.37992571279999,20.200000000000003,38.12708707200001,11.940755483870971
Mpj,2010,11,42.05468650319999,0.1,22.3248791952,4.290368055555556
Mpj,2010,12,35.9583028704,10.7,24.031324350216,3.5745863306451624
Mpj,2011,1,26.856149778,5.6,24.354851212799996,0.03262768817204292
Mpj,2011,2,35.18207435808,10.9,24.867829871999998,0.5749254538690467
Mpj,2011,3,57.94860760416002,2.3,21.495202092,8.594049193548392
Mpj,2011,4,47.21547517127999,0.7,25.350000192000007,11.442937499999998
Mpj,2011,5,40.78268481600001,0.7999999999999999,24.063817478399997,13.270094086021498
Mpj,2011,6,31.92461507376,0.9,30.569760395999996,22.02125694444444
Mpj,2011,7,27.769945534560005,38.599999999999994,31.0923017856,22.091801075268826
Mpj,2011,8,82.854264852,88.5,100.66011696,21.807426075268815
Mpj,2011,9,72.1707496128,28.900000000000002,52.50974733360001,16.79615690277778
Mpj,2011,10,51.886873987200005,29.0,28.978102079999996,11.607783024193548
Mpj,2011,11,36.84699209376,12.5,20.194766402399996,4.633763888888888
Mpj,2011,12,19.684540079999994,54.9,42.867898276320005,-1.7474416129032242
Mpj,2012,1,40.3100936856,6.0,29.516702853600005,2.3329097943834363
Mpj,2012,2,33.840382569119996,3.3000000000000003,18.14072519592,0.415495689655173
Mpj,2012,3,67.33121555448,1.9999999999999998,32.183383212,7.154583333333337
Mpj,2012,4,88.4207159424,14.2,35.110038038400006,11.566951388888887
Mpj,2012,5,68.71458476160001,5.6,41.53879497600001,15.345080645161287
Mpj,2012,6,51.91390619280001,0.30000000000000004,44.52798696480002,22.19021527777777
Mpj,2012,7,36.581978980799995,34.4,47.59633602,20.997412634408608
Mpj,2012,8,26.687470077359997,6.7,31.745130120000002,20.895451727150544
Mpj,2012,9,61.64321002559999,65.4,57.049910495999995,17.506424333333324
Mpj,2012,10,56.30093270351999,1.8,37.42719307200001,12.956075268817203
Mpj,2012,11,30.01258417968,2.3000000000000003,14.509195869599996,8.34789582638889
Mpj,2012,12,19.425145116239996,23.5,17.01520542288,1.1165040591397843
Mpj,2013,1,17.324886398399993,6.8,18.2296633968,-1.3091373588709663
Mpj,2013,2,28.98265384584,14.5,17.35397739936,0.3520535714285718
Mpj,2013,3,57.75591604319999,7.699999999999999,22.860581486400005,7.264139784946239
Mpj,2013,4,48.74568901487999,5.1,19.025953768799997,10.058395833333329
Mpj,2013,5,42.0137179668,4.0,20.958709564799996,14.807896505376346
Mpj,2013,6,31.2271278948,8.899999999999999,28.410830783999995,22.16521545833334
Mpj,2013,7,27.802688561999997,39.49999999999999,39.199043750399994,19.79101385752687
Mpj,2013,8,83.14220449439999,88.5,101.29911429600001,19.597977150537638
Mpj,2013,9,78.85564885440002,116.50000000000001,86.9723753112,16.495000166666664
Mpj,2013,10,71.7457243176,17.3,48.81805632000001,9.860524193548382
Mpj,2013,11,45.092298214079996,22.0,31.169412576000006,5.340434618055555
Mpj,2013,12,26.291192857200002,9.700000000000001,30.473227727999998,0.1437283534946234
Seg,2007,1,2.32163800709472,7.593,10.07980027140384,-1.0616245004480294
Seg,2007,2,4.36536703477656,6.259,10.807226324480883,4.411679739583334
Seg,2007,3,6.3914203936908,26.259,16.267846744519197,8.838495504032261
Seg,2007,4,5.764294184676481,25.333,11.092835604741119,12.116860923611105
Seg,2007,5,39.258261189323285,28.924999999999997,38.210408352428395,16.372642204301073
Seg,2007,6,20.46626227544904,23.488,22.150117886858645,23.545807222222226
Seg,2007,7,40.3331979041028,44.414,43.440355983748326,24.4994556451613
Seg,2007,8,42.23258376042744,35.795,42.535527746180406,25.31183838709679
Seg,2007,9,23.38860126943296,8.824,23.83143511720536,20.82069951388889
Seg,2007,10,5.46299951839416,3.2830000000000004,12.263958747977043,14.198323662634404
Seg,2007,11,5.17198589952768,6.1034999999999995,8.179010583939359,7.616948069444439
Seg,2007,12,4.576959535451039,23.5405,6.918885310973039,1.4341836357526891
Seg,2008,1,1.556232790824,0.0,12.639398563439999,-0.1388772244623657
Seg,2008,2,1.4314674114720007,0.0,10.9235602944,4.654453663793104
Seg,2008,3,0.9913010903999999,0.0,6.4719221659200015,8.603341397849464
Seg,2008,4,1.249971089904,0.0,9.8008063264944,12.997155208333329
Seg,2008,5,1.4161434415920005,0.0,14.14117779984,17.703797043010763
Seg,2008,6,1.1247426417599997,0.0,15.63333594156,24.318763888888885
Seg,2008,7,14.974158318479999,0.0,29.515273538400002,23.49960013440861
Seg,2008,8,89.05063395599998,26.31986,53.884692676800015,23.030235215053757
Seg,2008,9,35.97074133408,10.00756,28.7981933256,19.641083333333334
Seg,2008,10,4.3245576306719995,42.33189,11.247204750192,13.26449630376344
Seg,2008,11,1.4157584842320001,3.20243,5.7027501468,6.657118055555558
Seg,2008,12,1.132845744816,6.40493,7.52310898632,3.0414727822580647
Seg,2009,1,1.96670212164,0.7005399999999999,8.778678579360003,2.6978427419354842
Seg,2009,2,1.6879452580799998,0.50038,6.12192727008,6.246458333333335
Seg,2009,3,1.387405070784,8.60659,6.3999440301599995,9.56626982526882
Seg,2009,4,0.9869128365599998,5.404129999999999,9.525201726024,12.852611111111113
Seg,2009,5,2.6838968868,28.92199,16.025788574568,19.57696236559139
Seg,2009,6,12.457382176080005,25.81955,16.3395101772,22.181583333333332
Seg,2009,7,15.143690769840001,20.015259999999998,9.7604832384,25.59719086021506
Seg,2009,8,0.747422258976,18.61404,8.61090298776,24.50743951612903
Seg,2009,9,4.07930183208,43.83353999999999,11.702041269839999,18.75307638888889
Seg,2009,10,4.113704894688,45.034259999999996,5.749555158719999,12.977970430107522
Seg,2009,11,1.6483015727999997,15.51182,5.100760814399999,7.303453125000002
Seg,2009,12,1.6568187217199999,12.00921,10.67034318768,0.25367540322580634
Seg,2010,1,1.7978988646799996,16.512549999999997,11.46091917384,0.41914802104781557
Seg,2010,2,0.86197356036,11.208580000000001,8.03936531592,3.004447544642858
Seg,2010,3,1.734527593656,9.006870000000001,6.84310778712,6.849022849462369
Seg,2010,4,10.643941009799999,17.2131,5.491024242912001,12.824777777777776
Seg,2010,5,22.364401669920003,2.50191,13.39866105552,18.104495967741943
Seg,2010,6,10.468821383855996,11.4087,12.584794290480003,24.79288194444445
Seg,2010,7,14.039369899920002,52.74036000000001,24.790749831360003,24.429247311827954
Seg,2010,8,39.205701730079994,9.507169999999999,26.54121054816,24.024348118279562
Seg,2010,9,10.49076058032,24.81881,14.066278804080003,22.40758333333334
Seg,2010,10,19.98293388048,21.516240000000003,14.526633288239996,9.49382997311828
Seg,2010,11,2.533788097199999,0.10008,7.016482612800002,-5.577229166666661
Seg,2010,12,1.0591787070000003,4.8037,6.88366230336,5.1715809879032255
Seg,2011,1,1.247541994728,0.40031,12.820768842744,0.19508879547014346
Seg,2011,2,0.7406898206400001,1.4010799999999999,11.23277104008,2.6893941369047583
Seg,2011,3,0.7877687125679999,0.50038,10.330287970320002,11.471955645161293
Seg,2011,4,1.040411267496,0.50038,9.421766776079998,14.970708333333329
Seg,2011,5,1.3493128428720005,0.20016,7.362595526400001,17.26400537634409
Seg,2011,6,1.437681756312,0.0,5.812831604664001,25.734002062499997
Seg,2011,7,0.9091931616,21.41635,20.410033162319998,26.420381498655903
Seg,2011,8,3.989553838559999,13.310109999999998,20.617589288160005,25.49453629032258
Seg,2011,9,3.454889021928,10.508009999999999,11.147554761120002,20.23439152777778
Seg,2011,10,2.623040330328,22.91748,4.7859560424,13.527966424731188
