Site,Y,Species,DBH,D1,D2,D3,D4,D5,D6,HEIGHT,BB,,
PJC,2015,JUMO,18.5,0,0,0,0,0,0,4.1,N,,
PJC,2015,JUMO,19,0,0,0,0,0,0,3.2,N,,
PJC,2015,JUMO,19.3,9.2,0,0,0,0,0,3.1,N,,
PJC,2015,JUMO,20.1,0,0,0,0,0,0,4.5,N,,
PJC,2015,JUMO,20.5,0,0,0,0,0,0,3.9,N,,
PJC,2015,JUMO,21,0,0,0,0,0,0,1.7,N,,
PJC,2015,JUMO,23.2,0,0,0,0,0,0,2.5,N,,
PJC,2015,JUMO,23.5,0,0,0,0,0,0,2.2,N,,
PJC,2015,JUMO,24.1,0,0,0,0,0,0,2.8,N,,
PJC,2015,JUMO,26.5,23,11.6,0,0,0,0,4.1,N,,
PJC,2015,JUMO,26.9,18.4,0,0,0,0,0,2,N,,
PJC,2015,JUMO,29.1,0,0,0,0,0,0,3.9,N,,
PJC,2015,JUMO,33.6,0,0,0,0,0,0,2.9,N,,
PJC,2015,JUMO,33.8,0,0,0,0,0,0,1.7,N,,
PJC,2015,JUMO,35.1,0,0,0,0,0,0,4.3,N,,
PJC,2015,JUMO,35.3,14.7,0,0,0,0,0,4.6,N,,
PJC,2015,JUMO,36,27.5,0,0,0,0,0,2.4,N,,
PJC,2015,JUMO,37.7,0,0,0,0,0,0,3.3,N,,
PJC,2015,JUMO,38,0,0,0,0,0,0,4.8,N,,
PJC,2015,JUMO,39.5,0,0,0,0,0,0,3.6,N,,
PJC,2015,JUMO,55.2,0,0,0,0,0,0,4.8,N,,
PJC,2015,PIED,0.7,0,0,0,0,0,0,1.5,Y,,
PJC,2014,PIED,0.8,0,0,0,0,0,0,1.9,Y,,
PJC,2014,PIED,0.8,0,0,0,0,0,0,1.6,Y,,
PJC,2015,PIED,1,0,0,0,0,0,0,0.2,Y,,
PJC,2015,PIED,1,0,0,0,0,0,0,1.4,Y,,
PJC,2014,PIED,1.1,0,0,0,0,0,0,1.5,Y,,
PJC,2015,PIED,1.1,0,0,0,0,0,0,1.6,Y,,
PJC,2014,PIED,1.2,0,0,0,0,0,0,1.8,Y,,
PJC,2014,PIED,1.2,0,0,0,0,0,0,1.7,Y,,
PJC,2015,PIED,1.2,0,0,0,0,0,0,1.6,Y,,
PJC,2015,PIED,1.2,0,0,0,0,0,0,1.8,Y,,
PJC,2014,PIED,1.3,0,0,0,0,0,0,1.6,N,,
PJC,2014,PIED,1.3,1,0,0,0,0,0,1.5,Y,,
PJC,2015,PIED,1.3,0,0,0,0,0,0,1.5,Y,,
PJC,2015,PIED,1.3,0,0,0,0,0,0,1.7,Y,,
PJC,2014,PIED,1.4,0,0,0,0,0,0,1.8,Y,,
PJC,2014,PIED,1.4,1.5,1.5,0,0,0,0,1.6,N,,
PJC,2014,PIED,1.4,1.3,0,0,0,0,0,1.7,Y,,
PJC,2014,PIED,1.4,0,0,0,0,0,0,1.5,Y,,
PJC,2015,PIED,1.4,0,0,0,0,0,0,1.5,N,,
PJC,2015,PIED,1.4,0,0,0,0,0,0,1.5,Y,,
PJC,2015,PIED,1.4,0,0,0,0,0,0,1.5,Y,,
PJC,2015,PIED,1.4,0,0,0,0,0,0,0.8,N,,
PJC,2015,PIED,1.4,0,0,0,0,0,0,1.7,N,,
PJC,2015,PIED,1.4,0,0,0,0,0,0,1.7,Y,,
PJC,2015,PIED,1.4,0,0,0,0,0,0,1.7,Y,,
PJC,2015,PIED,1.4,0,0,0,0,0,0,0.3,N,,
PJC,2014,PIED,1.42,0,0,0,0,0,0,1.8,Y,,
PJC,2014,PIED,1.5,0,0,0,0,0,0,1.8,Y,,
PJC,2014,PIED,1.5,0.9,0,0,0,0,0,1.9,Y,,
PJC,2014,PIED,1.5,0,0,0,0,0,0,1.9,Y,,
PJC,2014,PIED,1.5,0,0,0,0,0,0,1.7,Y,,
PJC,2014,PIED,1.5,2,0,0,0,0,0,1.7,Y,,
PJC,2014,PIED,1.5,0,0,0,0,0,0,1.7,N,,
PJC,2015,PIED,1.5,0,0,0,0,0,0,0.3,Y,,
PJC,2015,PIED,1.5,0,0,0,0,0,0,1.9,N,,
PJC,2015,PIED,1.5,1.2,0,0,0,0,0,2,Y,,
PJC,2015,PIED,1.5,0,0,0,0,0,0,0.4,N,,
PJC,2015,PIED,1.5,0,0,0,0,0,0,2.7,Y,,
PJC,2015,PIED,1.5,2.3,1,0,0,0,0,1.7,Y,,
PJC,2015,PIED,1.5,0,0,0,0,0,0,4.3,Y,,
PJC,2014,PIED,1.6,1.4,0,0,0,0,0,1.8,Y,,
PJC,2014,PIED,1.6,1.7,1.4,1.5,0,0,0,1.7,Y,,
PJC,2014,PIED,1.6,1.45,0,0,0,0,0,1.6,Y,,
PJC,2014,PIED,1.6,0,0,0,0,0,0,1.7,N,,
PJC,2015,PIED,1.6,0,0,0,0,0,0,0.5,N,,
PJC,2015,PIED,1.6,0,0,0,0,0,0,1.4,N,,
PJC,2015,PIED,1.6,0,0,0,0,0,0,0.8,N,,
PJC,2014,PIED,1.7,0,0,0,0,0,0,1.9,Y,,
PJC,2014,PIED,1.7,1.2,0,0,0,0,0,1.8,Y,,
PJC,2014,PIED,1.7,0,0,0,0,0,0,1.8,N,,
PJC,2015,PIED,1.7,0,0,0,0,0,0,1.5,Y,,
PJC,2015,PIED,1.7,0,0,0,0,0,0,0.6,N,,
PJC,2015,PIED,1.7,0,0,0,0,0,0,1.7,Y,,
PJC,2014,PIED,1.8,0,0,0,0,0,0,2.1,Y,,
PJC,2014,PIED,1.8,0,0,0,0,0,0,1.7,Y,,
PJC,2014,PIED,1.8,0,0,0,0,0,0,1.7,Y,,
PJC,2014,PIED,1.8,0,0,0,0,0,0,2,Y,,
PJC,2014,PIED,1.8,0,0,0,0,0,0,1.7,Y,,
PJC,2014,PIED,1.8,1.7,0,0,0,0,0,1.6,Y,,
PJC,2015,PIED,1.8,0,0,0,0,0,0,1.5,N,,
PJC,2015,PIED,1.8,2.7,0,0,0,0,0,1.6,N,,
PJC,2015,PIED,1.8,0,0,0,0,0,0,0.7,N,,
