BM_vol,BM_vol_dens,BM_vol_dens_sd,BM_vol_sd,ESD_vol,ESD_vol_dens,ESD_vol_dens_sd,ESD_vol_sd,region
162.8196689844,226.0578594661,49.6212852585,34.9661705566,39.6000825659,47.6212471577,4.558568361,4.399463478,9352
186.4605572025,251.128523468,28.4628093788,16.3016144607,43.7802369441,50.1787312292,3.1550667446,2.1433596949,45058
214.9601973551,251.2559728651,30.8767047307,49.2742727941,45.9381388308,51.402270566,3.3071366065,4.413873589,25731
100.5456494384,254.1982733415,37.6428975993,22.5096748449,33.0267754878,50.3285368736,4.0546181245,3.5852565786,16827
228.1208397975,254.6597064879,44.4716160123,39.5280694916,46.5294014987,51.3037752695,4.2634695472,4.6476282928,8267
162.8211596705,238.0677027409,34.4120344631,32.0852783518,40.6223941225,49.7938858875,3.185763873,3.3263916244,10596
120.4044990487,231.252035989,43.7210041328,31.9952543747,36.1282209633,47.5878462867,5.4710247347,4.2272417494,5462
154.299283164,239.1914547902,27.950352945,42.702601038,39.5389496894,49.335671591,2.6378091619,4.8073257063,8148
162.1173110169,226.2140604005,17.9398952463,31.8658331534,42.3106462447,48.8203056375,2.1711256237,4.0037591102,41653
165.7083407338,227.0724544304,30.2723968524,36.6959358969,41.3515228696,49.1460071232,3.3277327029,4.4235925753,6703
125.8591832581,231.1076877668,43.6424894837,17.6393960217,36.0255100715,49.7311551246,4.2696364427,2.1881546424,14019
132.5399392378,238.7638887613,45.4381503395,29.7943052534,37.1344810531,49.6332345698,4.9678790409,3.8179935484,35371
191.1763348313,235.6360212823,31.1137970313,47.4477238593,43.8190604938,49.4808047471,2.8713934909,5.3053002707,27053
147.2335200618,216.7300066822,18.1422155632,19.9484702315,39.7289380262,46.699362407,2.0280002163,2.9832903851,11326
108.6756931398,236.1690710137,46.2450058996,31.5222458079,35.3511376463,49.0750068914,3.9706852975,4.8236088009,13818
124.2240180082,245.7222873714,42.9408849751,34.9760426726,36.1652460664,48.9005883789,3.9419633893,4.5351359785,19983
105.8781721997,246.6770125807,28.3518006679,33.0156777404,33.2317368414,50.1882951968,2.9425915064,5.5258885024,19909
194.0746267613,232.5666073957,30.800462217,38.3063908707,43.5163374741,48.5296221848,3.2604959592,4.588877379,27215
140.6896273641,227.4785274226,32.9914969492,37.7379963119,38.4103658106,49.0674124282,3.1413164906,5.2083427456,8022
113.6929625543,203.5521765172,20.5920933681,22.6197469485,33.6962992332,44.9927951622,2.7306325597,3.4427849151,10927
135.3116656901,248.1359999789,33.912111426,29.1286876135,36.7768626019,49.9586558014,3.5561170537,5.1072584696,40963
166.15429655,254.3349207918,49.3276159481,17.5773728343,40.7418537611,49.0447209298,4.9301166701,2.4196548377,3339
116.7411432426,230.0994824215,30.9786634828,18.6986578606,35.0697085324,48.0175038782,3.4000919749,2.4834871811,3450
136.4210970351,248.8748023774,40.7258632909,28.4182596764,38.0999632244,51.1207490193,3.8963573874,3.6943900837,7885
120.3331670673,206.8599369515,42.0313265092,21.7504440064,35.8944811017,46.5139458868,4.2444711223,3.4566862615,15563
114.9824335617,220.8424645879,34.5718576948,25.1648889245,36.0332675879,46.8715206714,3.9320681335,3.8375296011,4675
158.6329856454,236.2403977865,35.3054619731,39.2798254558,40.6905562932,48.5393995208,2.8318123711,4.7118273035,19706
117.7380246405,228.4678614925,42.028001328,23.6582131421,34.2743974969,47.7769620388,4.4960987075,3.6425326822,7000
135.102660473,234.3052424415,48.747326038,39.9737661556,37.4159395712,48.591891119,5.0266458421,5.6475567878,8387
138.7174935519,253.105321245,46.1244031246,30.1482844334,38.1318347431,50.6706672741,3.8181508101,4.2920676853,10789
122.2035832104,236.6651162723,52.1523054322,23.3709432721,35.1145901061,48.205655526,4.3506840765,3.8577658266,18210
117.1079600813,238.0642019992,26.8886053982,18.3494082909,35.9171757133,48.4380824644,2.9134024798,2.697720087,10411
111.9408306458,234.3008968227,41.7503204049,31.0230148334,34.9204982569,48.3033762511,4.0222173307,5.1415716733,27726
142.0468338603,223.1851144317,37.190908658,53.889475035,39.9710307808,47.9525657583,3.8711122077,6.8151815734,11111
181.8211260658,247.1471069199,48.0346253021,27.157716934,42.3256117933,51.2685456248,4.5539056515,3.9751354257,7189
174.2639398829,235.314491386,44.2963752513,29.1445308343,43.2500009799,49.5906781324,5.4194642565,3.9915618922,4794
135.4672328066,232.227904631,56.1897220512,20.2532679257,36.7475942735,47.5386632571,4.6826027416,3.0223033371,10888
113.1609974845,221.606240805,19.7613745015,26.2994418467,34.7857607496,47.9481910097,2.1939110539,3.5152490686,39335
141.1877252784,255.2463487648,54.5490275922,28.0011175164,37.1912149689,51.6764058652,5.3530508478,4.8815360497,7445
